Name,Description,Long Description,Parts,Related Blocks
ableton_link,,,Sphere () ; knob () ; btn_dbug () ; e_OUT () ,
abs,Calculates and outputs absolute value of an incoming signal. Any negative number will become positive. Examples: -8 will output 8. -12.3 will output a 12.3,,Number (stream input) Outputs absolute (non-negative) value of given number,round
add,"Adds two numbers together and outputs the result using a simple A + B math operation, can be used to sum two signals together. Example: Connect an oscilator to each input, set each to different frequency, connect the output to a speaker block to hear both together.",,"A (stream input) The first value, added to B.; B (stream input) The second value, added to A.","subtract, multiply, divide, add_jolt"
add_jolt,Adds number from stream input to the jolt input and outputs the sum as jolt.,,"Add (stream input) Sets the value that will be added to the incoming value from the jolt input (without triggering the output).; Result (jolt output) Emits sum of jolt and stream values on each received jolt.; Calculate (jolt input) Receives value to which the value set in the stream input will be added, triggers the calculation.","subtract_jolt, multiply_jolt, divide_jolt, add"
allpass2,Second order allpass filter for implementing phasors and such.,,Signal input (stream input) The input signal.; Frequency (stream input) The 'break' frequency of the filter.; Radius (stream input) The radius/steepness of the filter.,"lowpass, highpass, onepole, ladder, statevariable"
alu,"All logical operations,  A block that allows users to do all aritmetic operations, with the oportunity to select the operations with a dial",,s_IN () ; eR_hot () ; Emmiter () ; Knob_Type () ; SetTypeReciever () ,
anchor,Your key to teleportation! Simply trigger this block to instantly transport yourself to its location and rotation. Send a positive number to gradually transport yourself over time (in seconds),,"Direction (pointer) After teleporting, the mask of the player will be facing in this direction (notice long tube); Teleport (jolt input) send 0 to teleport instantly or positive numbers (in seconds)",
back_button,Pressing the button will emit a number value of 1 out of the output.,,"Button (interactive) Triggers output to emit 1.; Output (jolt output) Emits the value 1 when button is pressed.; Trigger (jolt input) Triggers output to emit 1.; State (jolt input) Sets the visual state of the button, 0 - button is dark, >0 - button is lit, <0 - button looks inactive.","help_button, next_button, play_button, reset_button, skip_button"
ball,,,ball () ,
bar,,,s_IN_0 () ; s_IN_1 () ; s_IN_2 () ; s_IN_3 () ,
beat_time,The progress of your beat. You can control tempo / stop / restart with timecontrol block.,,Sphere () ; e_OUT () ,
bernoulli,"Routes an incoming jolt to either of two outputs based on probability. With probability value set closer to 0 the jolt will more like go though output A, while if value will be set closer to 1 - though output B.",,Probability (stream input) Probability distribution value.; Output A (jolt output) Emits jolt value based on set probability.; Output B (jolt output) Emits jolt value based on set probability.; Input (jolt input) Receives jolt value which will be passed to either of the outputs.,"random, sequence_random"
bg_nebula,"Background for the environment 

write in the console:

spawn bg_nebula",,VR Grab Handle () ,
block_distance,,,InteractiveSelector () ; distance output () ,
block_get_look,"Output angle between front/right or up direction of the origin, and the target position.",,origins () ; targets () ; Angle Z () Is the front of the origin facing the target ?; Angle Y. () Is the right side of the origin facing the target ?; Angle X () Is the up direction of the origin facing the target ?,
block_lookat,,,InteractiveSelector () ; speed () ,
block_relative_position,,,InteractiveSelector () ; e_OUT_x () ; e_OUT_y () ; e_OUT_z () ,
block_set_position,,,InteractiveSelector () ; knob () ,
