name,sourceJsonPath,description,longDescription,categories,relatedBlocks,includeInWebDocumentation,part_1_name,part_1_description,part_1_type,part_2_name,part_2_description,part_2_type,part_3_name,part_3_description,part_3_type,part_4_name,part_4_description,part_4_type,part_5_name,part_5_description,part_5_type,part_6_name,part_6_description,part_6_type,part_7_name,part_7_description,part_7_type,part_8_name,part_8_description,part_8_type,part_9_name,part_9_description,part_9_type,part_10_name,part_10_description,part_10_type,part_11_name,part_11_description,part_11_type,part_12_name,part_12_description,part_12_type,part_13_name,part_13_description,part_13_type,part_14_name,part_14_description,part_14_type,part_15_name,part_15_description,part_15_type,part_16_name,part_16_description,part_16_type,part_17_name,part_17_description,part_17_type,part_18_name,part_18_description,part_18_type,part_19_name,part_19_description,part_19_type,part_20_name,part_20_description,part_20_type,part_21_name,part_21_description,part_21_type,part_22_name,part_22_description,part_22_type,part_23_name,part_23_description,part_23_type,part_24_name,part_24_description,part_24_type,part_25_name,part_25_description,part_25_type
360video,../NewPatch/Assets/Blocks\360video\360video.json,,,"[""Visuals/Media""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360_image,../NewPatch/Assets/Blocks\360_image\360_image.json,Will load an image on the background. Using Equirectangular projection.,,"[""Visuals/Media""]",[],False,grab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d_grid,../NewPatch/Assets/Blocks\3d_grid\3d_grid.json,Snap block position and rotation in space. (turn on/off via World Inspector),,[],[],False,Grid Gizmo,Grab + Joystick to scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ableton_link,../NewPatch/Assets/Blocks\ableton_link\ableton_link.json,,,"[""Experimental""]",[],True,Sphere,,,knob,,,btn_dbug,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abs,../NewPatch/Assets/Blocks\abs\abs.json,Calculates and outputs absolute value of an incoming signal. Any negative number will become positive. Examples: -8 will output 8. -12.3 will output a 12.3,,"[""Audio/Converters""]","[""round""]",True,Number,Outputs absolute (non-negative) value of given number,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,../NewPatch/Assets/Blocks\add\add.json,"Adds two numbers together and outputs the result using a simple A + B math operation, can be used to sum two signals together. Example: Connect an oscilator to each input, set each to different frequency, connect the output to a speaker block to hear both together.",,"[""Audio/Operators""]","[""subtract"", ""multiply"", ""divide"", ""add_jolt""]",True,A,"The first value, added to B.",stream input,B,"The second value, added to A.",stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add_jolt,../NewPatch/Assets/Blocks\add_jolt\add_jolt.json,Adds number from stream input to the jolt input and outputs the sum as jolt.,,"[""Logic/Operators""]","[""subtract_jolt"", ""multiply_jolt"", ""divide_jolt"", ""add""]",True,Add,Sets the value that will be added to the incoming value from the jolt input (without triggering the output).,stream input,Result,Emits sum of jolt and stream values on each received jolt.,jolt output,Calculate,"Receives value to which the value set in the stream input will be added, triggers the calculation.",jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allpass2,../NewPatch/Assets/Blocks\allpass2\allpass2.json,Second order allpass filter for implementing phasors and such.,,"[""Audio/Filters""]","[""lowpass"", ""highpass"", ""onepole"", ""ladder"", ""statevariable""]",True,Signal input,The input signal.,stream input,Frequency,The 'break' frequency of the filter.,stream input,Radius,The radius/steepness of the filter.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anchor,../NewPatch/Assets/Blocks\anchor\anchor.json,Your key to teleportation! Simply trigger this block to instantly transport yourself to its location and rotation. Send a positive number to gradually transport yourself over time (in seconds),,"[""Player""]",[],True,Direction,"After teleporting, the mask of the player will be facing in this direction (notice long tube)",pointer,Teleport,send 0 to teleport instantly or positive numbers (in seconds),jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar_window,../NewPatch/Assets/Blocks\ar_window\ar_window.json,Resizable plane which displays passthrough.,,"[""Props""]",[],False,plane,,,MuX_ImgCorner_Msh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
